ano;quantidade;bytes
1976;52;561587543
1977;52;530194881
1978;52;543578877
1979;52;406411820
1980;53;513295948
1981;52;553965812
1982;52;490560827
1983;52;483731825
1984;52;572905097
1985;53;615175694
1986;52;603373735
1987;52;719318149
1988;52;685437185
1989;52;871138558
1990;52;832942785
1991;53;894150655
1992;52;939457780
1993;52;987122463
1994;52;1043310670
1995;52;1083205412
1996;53;1251980996
1997;52;1412850219
1998;52;2032559450
1999;52;1890750350
2000;52;1985241422
2001;104;4409012399
2002;53;2537993359
2003;52;2472802289
2004;52;2422913310
2005;52;2175685097
2006;52;2857160856
2007;52;2675788323
2008;53;2680774380
2009;52;2931280162
2010;52;3920165283
2011;52;4075202208
2012;52;4624880212
2013;53;5212603533
2014;52;5739831642
2015;11;1145920158
