;ano;link;arquivo;tamanho
0;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150106.zip;ipg150106.zip;113726795
1;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150113.zip;ipg150113.zip;94495275
2;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150120.zip;ipg150120.zip;59332666
3;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150127.zip;ipg150127.zip;89805942
4;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150203.zip;ipg150203.zip;129610974
5;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150210.zip;ipg150210.zip;100252623
6;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150217.zip;ipg150217.zip;86631416
7;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150224.zip;ipg150224.zip;134725955
8;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150303.zip;ipg150303.zip;122179541
9;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150310.zip;ipg150310.zip;92443698
10;2015;http://storage.googleapis.com/patents/grant_full_text/2015/ipg150317.zip;ipg150317.zip;122715273
11;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140107.zip;ipg140107.zip;107892419
12;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140114.zip;ipg140114.zip;78123505
13;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140121.zip;ipg140121.zip;80541450
14;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140128.zip;ipg140128.zip;95835431
15;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140204.zip;ipg140204.zip;106764435
16;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140211.zip;ipg140211.zip;80267083
17;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140218.zip;ipg140218.zip;107771203
18;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140225.zip;ipg140225.zip;92024622
19;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140304.zip;ipg140304.zip;109806001
20;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140311.zip;ipg140311.zip;70403920
21;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140318.zip;ipg140318.zip;115908852
22;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140325.zip;ipg140325.zip;111686222
23;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140401.zip;ipg140401.zip;112293378
24;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140408.zip;ipg140408.zip;107746133
25;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140415.zip;ipg140415.zip;113899539
26;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140422.zip;ipg140422.zip;119566441
27;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140429.zip;ipg140429.zip;119588613
28;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140506.zip;ipg140506.zip;121702528
29;2014;http://storage.googleapis.com/patents/grant_full_text/2014/ipg140513.zip;ipg140513.zip;120491155
